date,excaus
20100101,
20100104,1.0377
20100105,1.0371
20100106,1.0333
20100107,1.0351
20100108,1.0345
20100111,1.0317
20100112,1.0374
20100113,1.0319
20100114,1.0260
20100115,1.0287
20100118,
20100119,1.0325
20100120,1.0477
20100121,1.0483
20100122,1.0561
20100125,1.0582
20100126,1.0669
20100127,1.0657
20100128,1.0584
20100129,1.0652
20100201,1.0651
20100202,1.0607
20100203,1.0608
20100204,1.0735
20100205,1.0727
20100208,1.0692
20100209,1.0690
20100210,1.0667
20100211,1.0522
20100212,1.0529
20100215,
20100216,1.0427
20100217,1.0455
20100218,1.0450
20100219,1.0419
20100222,1.0428
20100223,1.0517
20100224,1.0551
20100225,1.0675
20100226,1.0520
20100301,1.0421
20100302,1.0325
20100303,1.0286
20100304,1.0307
20100305,1.0284
20100308,1.0286
20100309,1.0249
20100310,1.0241
20100311,1.0262
20100312,1.0187
20100315,1.0216
20100316,1.0147
20100317,1.0110
20100318,1.0139
20100319,1.0153
20100322,1.0193
20100323,1.0176
20100324,1.0268
20100325,1.0188
20100326,1.0283
20100329,1.0201
20100330,1.0189
20100331,1.0156
20100401,1.0073
20100402,1.0110
20100405,1.0025
20100406,1.0001
20100407,1.0028
20100408,1.0019
20100409,1.0055
20100412,1.0015
20100413,1.0029
20100414,0.9960
20100415,1.0013
20100416,1.0145
20100419,1.0199
20100420,0.9984
20100421,0.9983
20100422,1.0014
20100423,1.0026
20100426,1.0009
20100427,1.0169
20100428,1.0125
20100429,1.0052
20100430,1.0112
20100503,1.0134
20100504,1.0215
20100505,1.0264
20100506,1.0437
20100507,1.0423
20100510,1.0245
20100511,1.0193
20100512,1.0197
20100513,1.0148
20100514,1.0343
20100517,1.0400
20100518,1.0329
20100519,1.0510
20100520,1.0656
20100521,1.0564
20100524,1.0587
20100525,1.0776
20100526,1.0647
20100527,1.0491
20100528,1.0497
20100531,
20100601,1.0476
20100602,1.0404
20100603,1.0413
20100604,1.0516
20100607,1.0537
20100608,1.0517
20100609,1.0395
20100610,1.0336
20100611,1.0329
20100614,1.0251
20100615,1.0287
20100616,1.0236
20100617,1.0283
20100618,1.0237
20100621,1.0197
20100622,1.0201
20100623,1.0390
20100624,1.0429
20100625,1.0369
20100628,1.0337
20100629,1.0531
20100630,1.0606
20100701,1.0622
20100702,1.0647
20100705,
20100706,1.0497
20100707,1.0525
20100708,1.0410
20100709,1.0328
20100712,1.0377
20100713,1.0281
20100714,1.0304
20100715,1.0401
20100716,1.0536
20100719,1.0557
20100720,1.0526
20100721,1.0422
20100722,1.0373
20100723,1.0376
20100726,1.0312
20100727,1.0357
20100728,1.0356
20100729,1.0368
20100730,1.0293
20100802,1.0227
20100803,1.0219
20100804,1.0184
20100805,1.0154
20100806,1.0272
20100809,1.0266
20100810,1.0347
20100811,1.0455
20100812,1.0433
20100813,1.0400
20100816,1.0429
20100817,1.0311
20100818,1.0286
20100819,1.0397
20100820,1.0499
20100823,1.0512
20100824,1.0563
20100825,1.0640
20100826,1.0545
20100827,1.0547
20100830,1.0561
20100831,1.0640
20100901,1.0497
20100902,1.0520
20100903,1.0411
20100906,
20100907,1.0426
20100908,1.0359
20100909,1.0323
20100910,1.0357
20100913,1.0277
20100914,1.0219
20100915,1.0281
20100916,1.0274
20100917,1.0331
20100920,1.0280
20100921,1.0314
20100922,1.0325
20100923,1.0307
20100924,1.0262
20100927,1.0260
20100928,1.0305
20100929,1.0300
20100930,1.0293
20101001,1.0214
20101004,1.0235
20101005,1.0169
20101006,1.0073
20101007,1.0167
