date,exchus
20100101,
20100104,6.8273
20100105,6.8258
20100106,6.8272
20100107,6.8280
20100108,6.8274
20100111,6.8263
20100112,6.8267
20100113,6.8295
20100114,6.8265
20100115,6.8269
20100118,
20100119,6.8268
20100120,6.8258
20100121,6.8268
20100122,6.8270
20100125,6.8268
20100126,6.8263
20100127,6.8268
20100128,6.8267
20100129,6.8268
20100201,6.8260
20100202,6.8270
20100203,6.8260
20100204,6.8280
20100205,6.8275
20100208,6.8265
20100209,6.8267
20100210,6.8280
20100211,6.8328
20100212,6.8326
20100215,
20100216,6.8326
20100217,6.8326
20100218,6.8330
20100219,6.8290
20100222,6.8264
20100223,6.8267
20100224,6.8269
20100225,6.8267
20100226,6.8258
20100301,6.8263
20100302,6.8265
20100303,6.8258
20100304,6.8258
20100305,6.8260
20100308,6.8261
20100309,6.8263
20100310,6.8259
20100311,6.8266
20100312,6.8254
20100315,6.8259
20100316,6.8257
20100317,6.8259
20100318,6.8261
20100319,6.8265
20100322,6.8266
20100323,6.8263
20100324,6.8266
20100325,6.8270
20100326,6.8269
20100329,6.8264
20100330,6.8258
20100331,6.8258
20100401,6.8263
20100402,6.8255
20100405,6.8256
20100406,6.8250
20100407,6.8254
20100408,6.8240
20100409,6.8229
20100412,6.8252
20100413,6.8255
20100414,6.8258
20100415,6.8260
20100416,6.8253
20100419,6.8262
20100420,6.8253
20100421,6.8275
20100422,6.8263
20100423,6.8270
20100426,6.8266
20100427,6.8256
20100428,6.8245
20100429,6.8259
20100430,6.8247
20100503,6.8245
20100504,6.8260
20100505,6.8263
20100506,6.8265
20100507,6.8254
20100510,6.8263
20100511,6.8285
20100512,6.8270
20100513,6.8278
20100514,6.8263
20100517,6.8274
20100518,6.8273
20100519,6.8269
20100520,6.8277
20100521,6.8262
20100524,6.8286
20100525,6.8310
20100526,6.8292
20100527,6.8296
20100528,6.8305
20100531,
20100601,6.8275
20100602,6.8296
20100603,6.8283
20100604,6.8268
20100607,6.8322
20100608,6.8294
20100609,6.8285
20100610,6.8305
20100611,6.8320
20100614,6.8323
20100615,6.8323
20100616,6.8323
20100617,6.8290
20100618,6.8267
20100621,6.7968
20100622,6.8127
20100623,6.8124
20100624,6.8001
20100625,6.7911
20100628,6.7960
20100629,6.7977
20100630,6.7815
20100701,6.7807
20100702,6.7709
20100705,
20100706,6.7801
20100707,6.7770
20100708,6.7763
20100709,6.7720
20100712,6.7709
20100713,6.7720
20100714,6.7714
20100715,6.7774
20100716,6.7750
20100719,6.7780
20100720,6.7781
20100721,6.7769
20100722,6.7795
20100723,6.7803
20100726,6.7788
20100727,6.7781
20100728,6.7780
20100729,6.7760
20100730,6.7735
20100802,6.7740
20100803,6.7728
20100804,6.7720
20100805,6.7705
20100806,6.7680
20100809,6.7670
20100810,6.7720
20100811,6.7745
20100812,6.7843
20100813,6.7957
20100816,6.8038
20100817,6.7920
20100818,6.7911
20100819,6.7897
20100820,6.7900
20100823,6.7995
20100824,6.7966
20100825,6.7995
20100826,6.7998
20100827,6.7977
20100830,6.8029
20100831,6.8069
20100901,6.8102
20100902,6.8070
20100903,6.8014
20100906,
20100907,6.7906
20100908,6.7940
20100909,6.7820
20100910,6.7690
20100913,6.7595
20100914,6.7430
20100915,6.7380
20100916,6.7250
20100917,6.7230
20100920,6.7135
20100921,6.7059
20100922,6.7035
20100923,6.7046
20100924,6.7035
20100927,6.6911
20100928,6.6904
20100929,6.6869
20100930,6.6905
20101001,6.6895
20101004,6.6912
20101005,6.6906
20101006,6.6893
20101007,6.6903
20101008,6.6710
20101011,
20101012,6.6733
20101013,6.6634
20101014,6.6505
20101015,6.6397
20101018,6.6440
20101019,6.6444
20101020,6.6518
20101021,6.6502
20101022,6.6583
20101025,6.6579
20101026,6.6625
20101027,6.6805
20101028,6.6867
20101029,6.6707
20101101,6.6892
20101102,6.6775
20101103,6.6758
20101104,6.6609
20101105,6.6550
20101108,6.6791
20101109,6.6424
20101110,6.6335
20101111,
20101112,6.6368
20101115,6.6418
20101116,6.6378
20101117,6.6415
20101118,6.6330
20101119,6.6398
20101122,6.6414
20101123,6.6433
20101124,6.6529
20101125,
20101126,6.6675
20101129,6.6600
20101130,6.6670
20101201,6.6630
20101202,6.6609
20101203,6.6628
20101206,6.6483
20101207,6.6455
20101208,6.6616
20101209,6.6549
20101210,6.6550
20101213,6.6652
20101214,6.6563
20101215,6.6541
20101216,6.6635
20101217,6.6545
20101220,6.6745
20101221,6.6580
20101222,6.6450
20101223,6.6450
20101224,
20101227,6.6306
20101228,6.6247
20101229,6.6200
20101230,6.6000
20101231,
20110103,6.5895
20110104,6.6065
20110105,6.5850
20110106,6.6260
20110107,6.6276
20110110,6.6364
20110111,6.6185
20110112,6.6037
20110113,6.6044
20110114,6.5876
20110117,
20110118,6.5828
20110119,6.5823
20110120,6.5852
20110121,6.5831
20110124,6.5809
20110125,6.5824
20110126,6.5814
20110127,6.5814
20110128,6.5819
20110131,6.6017
20110201,6.5937
20110202,6.5560
20110203,6.5560
20110204,6.5560
20110207,6.5600
20110208,6.5520
20110209,6.5914
20110210,6.5864
20110211,6.5917
20110214,6.5965
20110215,6.5884
20110216,6.5884
20110217,6.5850
20110218,6.5731
20110221,
20110222,6.5795
20110223,6.5741
20110224,6.5720
20110225,6.5749
20110228,6.5713
20110301,6.5700
20110302,6.5723
20110303,6.5717
20110304,6.5670
20110307,6.5540
20110308,6.5684
20110309,6.5580
20110310,6.5731
20110311,6.5742
20110314,6.5696
20110315,6.5730
20110316,6.5713
20110317,6.5743
20110318,6.5689
20110321,6.5635
20110322,6.5510
20110323,6.5591
20110324,6.5580
20110325,6.5568
20110328,6.5643
20110329,6.5600
20110330,6.5558
