date,exinus
20100101,
20100104,46.27
20100105,46.13
20100106,45.72
20100107,45.67
20100108,45.50
20100111,45.35
20100112,45.60
20100113,45.47
20100114,45.55
20100115,45.80
20100118,
20100119,45.84
20100120,46.10
20100121,46.10
20100122,46.21
20100125,46.06
20100126,
20100127,46.30
20100128,46.35
20100129,46.08
20100201,46.27
20100202,46.11
20100203,45.97
20100204,46.21
20100205,46.72
20100208,46.79
20100209,46.49
20100210,46.36
20100211,46.39
20100212,46.44
20100215,
20100216,45.99
20100217,46.00
20100218,46.20
20100219,46.24
20100222,46.15
20100223,46.25
20100224,46.27
20100225,46.29
20100226,46.05
20100301,46.01
20100302,46.01
20100303,45.55
20100304,45.82
20100305,45.49
20100308,45.50
20100309,45.60
20100310,45.35
20100311,45.49
20100312,45.48
20100315,45.55
20100316,45.45
20100317,45.28
20100318,45.45
20100319,45.31
20100322,45.52
20100323,45.50
20100324,45.40
20100325,45.50
20100326,45.16
20100329,44.94
20100330,45.06
20100331,44.95
20100401,44.79
20100402,44.74
20100405,44.39
20100406,44.41
20100407,44.44
20100408,44.41
20100409,44.10
20100412,44.41
20100413,44.47
20100414,44.20
20100415,44.32
20100416,44.30
20100419,44.72
20100420,44.50
20100421,44.54
20100422,44.52
20100423,44.42
20100426,44.33
20100427,44.41
20100428,44.54
20100429,44.61
20100430,44.20
20100503,44.46
20100504,44.62
20100505,44.82
20100506,45.29
20100507,45.40
20100510,44.84
20100511,45.10
20100512,45.08
20100513,45.00
20100514,45.20
20100517,45.51
20100518,45.51
20100519,46.27
20100520,46.80
20100521,46.90
20100524,46.97
20100525,47.49
20100526,47.10
20100527,46.71
20100528,46.31
20100531,
20100601,47.08
20100602,46.89
20100603,46.55
20100604,46.85
20100607,47.08
20100608,46.82
20100609,46.95
20100610,46.89
20100611,46.76
20100614,46.40
20100615,46.41
20100616,46.43
20100617,46.22
20100618,45.96
20100621,45.64
20100622,46.00
20100623,46.19
20100624,46.48
20100625,46.36
20100628,46.20
20100629,46.40
20100630,46.41
20100701,46.59
20100702,46.55
20100705,
20100706,46.76
20100707,46.96
20100708,46.87
20100709,46.66
20100712,46.66
20100713,46.74
20100714,46.71
20100715,46.50
20100716,46.70
20100719,47.10
20100720,47.23
20100721,47.08
20100722,47.12
20100723,46.90
20100726,47.04
20100727,46.25
20100728,46.70
20100729,46.53
20100730,46.35
20100802,46.09
20100803,46.11
20100804,46.02
20100805,46.06
20100806,45.94
20100809,46.07
20100810,46.30
20100811,46.66
20100812,46.70
20100813,46.61
20100816,46.68
20100817,46.60
20100818,46.54
20100819,46.35
20100820,45.70
20100823,46.50
20100824,46.86
20100825,46.87
20100826,46.78
20100827,46.80
20100830,46.87
20100831,47.02
20100901,46.74
20100902,46.65
20100903,46.58
20100906,
20100907,46.82
20100908,46.50
20100909,46.30
20100910,46.28
20100913,46.26
20100914,46.15
20100915,46.23
20100916,46.14
20100917,45.88
20100920,45.65
20100921,45.59
20100922,45.56
20100923,45.56
20100924,45.10
20100927,44.94
20100928,45.04
20100929,44.80
20100930,44.56
20101001,44.41
20101004,44.55
20101005,44.46
20101006,44.25
20101007,44.21
20101008,44.39
20101011,
20101012,44.55
20101013,44.35
20101014,44.05
20101015,44.15
20101018,44.26
20101019,44.30
20101020,44.25
20101021,44.25
20101022,44.52
20101025,44.39
20101026,44.54
20101027,44.40
20101028,44.36
20101029,44.44
20101101,44.36
20101102,44.00
20101103,44.38
20101104,44.08
20101105,43.90
20101108,44.29
20101109,44.25
20101110,44.28
20101111,
20101112,44.78
20101115,45.11
20101116,45.51
20101117,45.09
20101118,45.14
20101119,45.25
20101122,45.48
20101123,45.56
20101124,45.72
20101125,
20101126,45.82
20101129,45.80
20101130,45.83
20101201,45.29
20101202,45.09
20101203,44.90
20101206,44.89
20101207,44.70
20101208,45.00
20101209,45.13
20101210,45.10
20101213,45.18
20101214,45.01
20101215,45.38
20101216,45.54
20101217,45.16
20101220,45.40
20101221,45.19
20101222,45.05
20101223,45.06
20101224,
20101227,45.26
20101228,45.00
20101229,44.97
20101230,44.80
20101231,
20110103,44.59
20110104,44.90
20110105,45.35
20110106,45.15
20110107,45.35
20110110,45.36
