iid,datadate,tic,ajexdi,cshtrd,prccd,prchd,prcld,prcod,exsfus
01,20100104,AMZN,1.0000,7595545.0000,133.9000,136.6100,133.1400,136.2500,7.3613
01,20100105,AMZN,1.0000,8850716.0000,134.6900,135.4790,131.8100,133.4300,7.2955
01,20100106,AMZN,1.0000,7177363.0000,132.2500,134.7300,131.6500,134.6000,7.3060
01,20100107,AMZN,1.0000,11013600.0000,130.0000,132.3200,128.8000,132.0100,7.3060
01,20100108,AMZN,1.0000,9824568.0000,133.5200,133.6800,129.0300,130.5600,7.4400
01,20100111,AMZN,1.0000,8776711.0000,130.3080,132.8000,129.2100,132.6200,7.3565
01,20100112,AMZN,1.0000,9091645.0000,127.3500,129.8200,126.5500,128.9900,7.3425
01,20100113,AMZN,1.0000,10722930.0000,129.1100,129.7100,125.7500,127.9020,7.4250
01,20100114,AMZN,1.0000,9704087.0000,127.3500,130.3800,126.4000,129.1400,7.4222
01,20100115,AMZN,1.0000,15357930.0000,127.1400,129.6500,127.0600,129.1800,7.4060
01,20100119,AMZN,1.0000,8887799.0000,127.6100,128.0000,124.3300,126.2000,7.3880
01,20100120,AMZN,1.0000,9058265.0000,125.7800,129.2000,125.0800,127.1300,7.3880
01,20100121,AMZN,1.0000,9968673.0000,126.6200,128.1500,125.0000,127.2600,7.4000
01,20100122,AMZN,1.0000,11541820.0000,121.4300,127.6700,120.7600,125.6000,7.5551
01,20100125,AMZN,1.0000,12017660.0000,120.3100,122.2800,118.1200,122.1000,7.5700
01,20100126,AMZN,1.0000,9554626.0000,119.4800,122.9800,119.0610,120.5600,7.6100
01,20100127,AMZN,1.0000,14742240.0000,122.7500,123.3300,118.8000,121.0300,7.6100
01,20100128,AMZN,1.0000,26608080.0000,126.0300,127.2000,122.8000,124.4300,7.6265
01,20100129,AMZN,1.0000,29455530.0000,125.4100,131.8499,124.1400,129.7700,7.6005
01,20100201,AMZN,1.0000,37665920.0000,118.8700,124.8600,113.8200,123.1800,7.5594
01,20100202,AMZN,1.0000,23044030.0000,118.1200,118.9800,114.4000,118.7900,7.5800
01,20100203,AMZN,1.0000,12393930.0000,119.1000,119.6100,116.5600,117.1200,7.5250
01,20100204,AMZN,1.0000,12768990.0000,115.9400,120.3300,115.7400,118.6400,7.4661
01,20100205,AMZN,1.0000,11024210.0000,117.3900,117.6500,114.1000,115.8800,7.4963
01,20100208,AMZN,1.0000,9886656.0000,116.8300,121.0000,116.5600,119.3750,7.6835
01,20100209,AMZN,1.0000,9218504.0000,118.0300,119.0900,117.0000,118.2000,7.7701
01,20100210,AMZN,1.0000,6231079.0000,117.3600,118.6100,116.0000,118.0000,7.7375
01,20100211,AMZN,1.0000,8342057.0000,120.0900,120.4201,116.5000,117.2100,7.6800
01,20100212,AMZN,1.0000,7916984.0000,119.6600,119.9400,117.5000,118.9900,7.7400
01,20100216,AMZN,1.0000,8899183.0000,117.5300,120.5000,117.1800,120.0600,7.6425
01,20100217,AMZN,1.0000,8913604.0000,116.3100,117.1300,115.5500,117.0750,7.7025
01,20100218,AMZN,1.0000,9795116.0000,118.0800,118.5100,114.8200,115.8390,7.7025
01,20100219,AMZN,1.0000,7114712.0000,117.5200,119.0900,117.0000,117.9100,7.6700
01,20100222,AMZN,1.0000,6806986.0000,118.0100,118.9700,116.1800,117.3700,7.6000
01,20100223,AMZN,1.0000,7066220.0000,117.2400,119.2500,116.5100,118.0100,7.6225
01,20100224,AMZN,1.0000,7387899.0000,119.7200,119.8000,117.1500,117.9600,7.6493
01,20100225,AMZN,1.0000,9524339.0000,118.2000,118.3400,115.8500,118.1700,7.7150
01,20100226,AMZN,1.0000,5713949.0000,118.4000,119.4300,117.0000,117.8800,7.7461
01,20100301,AMZN,1.0000,13285570.0000,124.5400,124.6600,117.5300,118.8500,7.7550
01,20100302,AMZN,1.0000,12096460.0000,125.5300,127.3500,124.8000,125.0100,7.8500
01,20100303,AMZN,1.0000,6434791.0000,125.8900,126.9400,124.4300,125.4000,7.6400
01,20100304,AMZN,1.0000,7489729.0000,128.5300,128.8500,125.5700,125.9600,7.6210
01,20100305,AMZN,1.0000,6769021.0000,128.9100,129.4500,127.0700,129.1300,7.5980
