date,exsfus
20100101,7.3613
20100104,7.2955
20100105,7.3060
20100106,7.3060
20100107,7.4400
20100108,7.3565
20100111,7.3425
20100112,7.4250
20100113,7.4222
20100114,7.4060
20100115,7.3880
20100118,7.3880
20100119,7.4000
20100120,7.5551
20100121,7.5700
20100122,7.6100
20100125,7.6100
20100126,7.6265
20100127,7.6005
20100128,7.5594
20100129,7.5800
20100201,7.5250
20100202,7.4661
20100203,7.4963
20100204,7.6835
20100205,7.7701
20100208,7.7375
20100209,7.6800
20100210,7.7400
20100211,7.6425
20100212,7.7025
20100215,7.7025
20100216,7.6700
20100217,7.6000
20100218,7.6225
20100219,7.6493
20100222,7.7150
20100223,7.7461
20100224,7.7550
20100225,7.8500
20100226,7.6400
20100301,7.6210
20100302,7.5980
20100303,7.5050
20100304,7.4800
20100305,7.4202
20100308,7.4031
20100309,7.3850
20100310,7.4090
20100311,7.4366
20100312,7.3848
20100315,7.4200
20100316,7.3675
20100317,7.2378
20100318,7.3050
20100319,7.3396
20100322,7.3380
20100323,7.3290
20100324,7.3455
20100325,7.4445
20100326,7.4445
20100329,7.3980
20100330,7.3900
20100331,7.3300
20100401,7.2600
20100402,7.2400
20100405,7.2375
20100406,7.2650
20100407,7.2705
20100408,7.2675
20100409,7.2530
20100412,7.2623
20100413,7.2744
20100414,7.3001
20100415,7.3406
20100416,7.4043
20100419,7.4875
20100420,7.3925
20100421,7.3938
20100422,7.5073
20100423,7.4460
20100426,7.3390
20100427,7.4400
20100428,7.4850
20100429,7.3600
20100430,7.3515
20100503,7.4230
20100504,7.5480
20100505,7.6265
20100506,7.7680
20100507,7.6353
20100510,7.4777
20100511,7.5350
20100512,7.4935
20100513,7.4740
20100514,7.5524
20100517,7.5941
20100518,7.5901
20100519,7.8570
20100520,7.9799
20100521,7.8535
20100524,7.8250
20100525,7.9300
20100526,7.7149
20100527,7.6000
20100528,7.5517
20100531,7.5517
20100601,7.6718
20100602,7.6365
20100603,7.6780
20100604,7.7753
20100607,7.7955
20100608,7.7427
20100609,7.7603
20100610,7.7000
20100611,7.7100
20100614,7.6520
20100615,7.5742
20100616,7.5710
20100617,7.5815
20100618,7.5376
20100621,7.4820
20100622,7.5200
20100623,7.5275
20100624,7.6402
20100625,7.6262
20100628,7.5419
20100629,7.6347
20100630,7.6252
20100701,7.7501
20100702,7.7165
20100705,7.7165
20100706,7.6210
20100707,7.6302
20100708,7.5521
20100709,7.5800
20100712,7.6241
20100713,7.5302
20100714,7.5151
20100715,7.5616
20100716,7.6052
20100719,7.6602
20100720,7.5830
20100721,7.5303
20100722,7.4424
20100723,7.4321
20100726,7.3370
20100727,7.3200
20100728,7.3310
20100729,7.3319
20100730,7.2915
20100802,7.2762
20100803,7.2821
20100804,7.2642
20100805,7.2497
20100806,7.2425
20100809,7.1804
20100810,7.2130
20100811,7.2766
20100812,7.2770
20100813,7.3100
20100816,7.2650
20100817,7.2540
20100818,7.2539
20100819,7.2870
20100820,7.3325
20100823,7.3406
20100824,7.3492
20100825,7.3494
20100826,7.3120
20100827,7.3070
20100830,7.3355
20100831,7.3725
20100901,7.2905
20100902,7.2279
20100903,7.1825
20100906,7.1825
20100907,7.2565
20100908,7.2403
20100909,7.1900
20100910,7.1875
20100913,7.1334
20100914,7.0422
20100915,7.0830
20100916,7.1626
20100917,7.1301
20100920,7.1180
20100921,7.1208
20100922,7.0236
20100923,7.0280
20100924,7.0045
20100927,7.0042
20100928,6.9754
20100929,6.9572
20100930,6.9509
20101001,6.9320
20101004,7.0210
20101005,6.8857
20101006,6.8450
20101007,6.8900
20101008,6.8415
20101011,6.8415
20101012,6.8710
20101013,6.8100
20101014,6.7900
20101015,6.8125
20101018,6.8660
20101019,6.9370
20101020,6.9192
20101021,6.9160
20101022,6.9526
20101025,6.9200
20101026,6.9271
20101027,7.0720
20101028,6.9900
20101029,6.9755
20101101,7.0050
20101102,6.9150
20101103,6.9090
20101104,6.8110
20101105,6.7930
20101108,6.8500
20101109,6.8354
20101110,6.8960
20101111,6.8960
20101112,6.9070
20101115,6.9525
20101116,7.0500
20101117,7.0204
20101118,7.0028
20101119,7.0165
20101122,6.9952
