date,exukus
20100101,
20100104,0.6208
20100105,0.6246
20100106,0.6244
20100107,0.6285
20100108,0.6253
20100111,0.6193
20100112,0.6180
20100113,0.6139
20100114,0.6127
20100115,0.6158
20100118,
20100119,0.6109
20100120,0.6140
20100121,0.6168
20100122,0.6203
20100125,0.6159
20100126,0.6208
20100127,0.6171
20100128,0.6157
20100129,0.6246
20100201,0.6280
20100202,0.6263
20100203,0.6283
20100204,0.6344
20100205,0.6402
20100208,0.6390
20100209,0.6378
20100210,0.6408
20100211,0.6380
20100212,0.6382
20100215,
20100216,0.6356
20100217,0.6368
20100218,0.6418
20100219,0.6478
20100222,0.6461
20100223,0.6467
20100224,0.6480
20100225,0.6579
20100226,0.6562
20100301,0.6678
20100302,0.6693
20100303,0.6612
20100304,0.6653
20100305,0.6616
20100308,0.6640
20100309,0.6665
20100310,0.6677
20100311,0.6644
20100312,0.6584
20100315,0.6648
20100316,0.6582
20100317,0.6538
20100318,0.6559
20100319,0.6660
20100322,0.6635
20100323,0.6637
20100324,0.6705
20100325,0.6719
20100326,0.6709
20100329,0.6680
20100330,0.6627
20100331,0.6585
20100401,0.6540
20100402,0.6580
20100405,0.6543
20100406,0.6566
20100407,0.6559
20100408,0.6548
20100409,0.6506
20100412,0.6507
20100413,0.6487
20100414,0.6458
20100415,0.6466
20100416,0.6496
20100419,0.6552
20100420,0.6504
20100421,0.6495
20100422,0.6507
20100423,0.6509
20100426,0.6466
20100427,0.6542
20100428,0.6596
20100429,0.6535
20100430,0.6533
20100503,0.6561
20100504,0.6607
20100505,0.6608
20100506,0.6716
20100507,0.6785
20100510,0.6676
20100511,0.6688
20100512,0.6732
20100513,0.6822
20100514,0.6870
20100517,0.6950
20100518,0.6926
20100519,0.6969
20100520,0.6972
20100521,0.6913
20100524,0.6927
20100525,0.6968
20100526,0.6944
20100527,0.6864
20100528,0.6900
20100531,
20100601,0.6815
20100602,0.6830
20100603,0.6842
20100604,0.6900
20100607,0.6898
20100608,0.6934
20100609,0.6856
20100610,0.6815
20100611,0.6875
20100614,0.6770
20100615,0.6744
20100616,0.6739
20100617,0.6754
20100618,0.6763
20100621,0.6745
20100622,0.6734
20100623,0.6688
20100624,0.6673
20100625,0.6673
20100628,0.6623
20100629,0.6631
20100630,0.6690
20100701,0.6611
20100702,0.6588
20100705,
20100706,0.6588
20100707,0.6588
